,JPN_UNHEDGED,JPN_HEDGED,AUS_UNHEDGED,AUS_HEDGED,DEU_UNHEDGED,DEU_HEDGED,FRA_UNHEDGED,FRA_HEDGED,CHE_UNHEDGED,CHE_HEDGED,GBR_UNHEDGED,GBR_HEDGED,EQ_UNHEDGED,EQ_HEDGED,RP_UNHEDGED,RP_HEDGED,MV_UNHEDGED,MV_HEDGED
2000-02-29,1.0433470401823433,,0.9511117138910482,,1.10716258901747,,1.0691452340991254,,0.9807728299961529,,0.9975999355009189,,1.0,,1.0,,1.0,
2000-03-31,1.043191346665996,,0.9438939152652419,,1.0832868900624006,,1.0661819665761598,,1.0598535723297602,,1.0641407438643544,,1.0,,1.0,,1.0,
2000-04-30,0.9800221145759263,,0.9227828852040556,,0.9917346912503173,,1.028723581329402,,1.0296194721100715,,0.995072610719967,,1.0,,1.0,,1.0,
2000-05-31,0.9261008007242635,,0.9494996439560685,,1.0126002036333615,,1.0947524670056086,,1.1239667333866448,,1.0043528583488426,,1.0,,1.0,,1.0,
2000-06-30,0.9512935003749503,,0.9900824853312479,,0.9667412873290756,,1.0843872289834644,,1.1351101990363692,,1.0132121943126462,,1.0,,1.0,,1.0,
2000-07-31,0.8669151544523663,,0.9825735318040257,,0.9531642226807988,,1.0690439168432437,,1.1378256645450482,,1.012089817151345,,1.0,,1.0,,1.0,
2000-08-31,0.9138598802842003,,0.933720694186803,,0.9009741729633326,,1.0498817002778225,,1.1434757337687143,,1.0253747440708396,,1.0,,1.0,,1.0,
2000-09-30,0.8750781916177932,,0.8770945260997246,,0.812642331913527,,0.968176974556989,,1.0715822726353843,,0.987254725009842,,1.0,,1.0,,1.0,
2000-10-31,0.8160125022562918,,0.8950102316787548,,0.8177658654774503,,0.9775123530677534,,1.1040123213125872,,0.9866254015027298,,1.0,,1.0,,1.0,
2000-11-30,0.7832704754763812,,0.969836965765255,,0.7763111578518092,,0.9628485014687381,,1.1436455172549433,,0.97599036929856,,1.0,,1.0,,1.0,
2000-12-31,0.7061005589879795,,0.9777143417744479,,0.8025081364495941,,1.0138009122924407,,1.206725084157322,,0.9973691733565596,,1.0,,1.0,,1.0,
2001-01-31,0.7195403915661314,,0.9678279311112432,,0.8256998398132014,,0.998428920811464,,1.1752916676959988,,0.9722067387767487,,1.0,,1.0,,1.0,
2001-02-28,0.657781097550781,,0.9007118414897668,,0.7546086760960126,,0.9099983243173644,,1.1091144786282487,,0.9206035701288389,,1.0,,1.0,,1.0,
2001-03-31,0.6669151121920143,,0.8696681043314753,,0.7138569003495232,,0.8577882131080439,,1.0319586643907182,,0.8767797986717608,,1.0,,1.0,,1.0,
2001-04-30,0.7219819246007635,,0.9376976525837789,,0.7458343751118846,,0.9064859954221695,,1.036372202615485,,0.9220550935899315,,1.0,,1.0,,1.0,
2001-05-31,0.6962759944067355,,0.9586346019853863,,0.715615037636713,,0.8719004087368041,,1.034131503091909,,0.8889823510891735,,1.0,,1.0,,1.0,
2001-06-30,0.6781795436135766,,0.9655299145597903,,0.7172631644586582,,0.846634051709102,,1.0137431196289453,,0.8699502331866649,,1.0,,1.0,,1.0,
2001-07-31,0.637084090580005,,0.9416994882516786,,0.729210260420251,,0.8645687844147849,,0.9977580919916602,,0.8661183442649887,,1.0,,1.0,,1.0,
2001-08-31,0.6037408297238616,,0.9105307540934466,,0.6741424253244003,,0.8173351471261182,,0.9911822251164263,,0.8638811733154756,,1.0,,1.0,,1.0,
2001-09-30,0.5494043011211174,,0.8662006250231926,,0.5822370305927941,,0.7095970792505963,,0.8886985859273631,,0.7787613585061943,,1.0,,1.0,,1.0,
2001-10-31,0.5640538408896689,,0.940965183518366,,0.6032705004586905,,0.7400583203116525,,0.9035184259537735,,0.7960051446222058,,1.0,,1.0,,1.0,
2001-11-30,0.537322506599928,,0.9690174301345428,,0.646608929675913,,0.7681376548011831,,0.9288425787703722,,0.8324337986842679,,1.0,,1.0,,1.0,
2001-12-31,0.5062049849038192,,0.9955309508755478,,0.6553560539060634,,0.7882525489172688,,0.9485392655370187,,0.8293380855960776,,1.0,,1.0,,1.0,
2002-01-31,0.47409813745122564,,1.0144578022201627,,0.6540128389980591,,0.7560332701504047,,0.9132857969152472,,0.8148850670400102,,1.0,,1.0,,1.0,
2002-02-28,0.5038647221376407,,1.0378748688881945,,0.6526454688679185,,0.7578117740780658,,0.9364619860060939,,0.8123340735985045,,1.0,,1.0,,1.0,
2002-03-31,0.53180303763028,,1.0623257532864947,,0.6921829478408739,,0.8058288057033857,,0.994057008659203,,0.8557606612806891,,1.0,,1.0,,1.0,
2002-04-30,0.5616339393164875,,1.0756976656560286,,0.6841416126366423,,0.7973369219592965,,1.0306583467682824,,0.8542152764970163,,1.0,,1.0,,1.0,
2002-05-31,0.5964023161609014,1.0315717736786774,1.1114711846064358,0.9918035654291866,0.6949786500693171,0.9743442732951451,0.8080438215058501,0.9719322561198995,1.06660503466783,1.0089082083543146,0.8582314983234005,0.9792059644005944,1.0,1.0,1.0,1.0,1.0,1.0
2002-06-30,0.5714333559351917,0.9351061533055786,1.0543177498748368,0.9587168662326472,0.67256456690092,0.9067705945279906,0.7718032065096416,0.892281121265878,1.0247975887953884,0.9284827677267132,0.8260412472011998,0.8840242601650808,1.0,1.0,1.0,1.0,1.0,1.0
2002-07-31,0.533501538254027,0.8766589482898539,0.9915506092959404,0.9161589464175519,0.5900366383014284,0.811590062253181,0.6807639411534183,0.8028596105608752,0.8740593268973843,0.8129578848148049,0.7425669807885338,0.7966726872723211,1.0,1.0,1.0,1.0,1.0,1.0
2002-08-31,0.5115141731888074,0.8511434465515231,1.0173012476042045,0.9242309668326794,0.5898315683762159,0.8113359910278967,0.6793502396625588,0.8012200597386636,0.8809140973362927,0.8216786234581022,0.7541503887692329,0.7905405419724777,1.0,1.0,1.0,1.0,1.0,1.0
